TRACK_ID,TOTAL_STREAM,DAILY_STREAM,DATE,PREVIOUS_DAILY_STREAM
1Z79tpetXTqujnp0UYOV7V,248954,89.0,2024-01-01,0.0
4EwrLjUsIF0PINB6sLZj3l,249369,68.0,2024-01-01,0.0
02DtaJ6ADr4uQJbKEdpxxj,251403,143.0,2024-01-01,0.0
1J22bFnVC6Rmjxby941PDf,253456,156.0,2024-01-01,0.0
5Gz9GFSwHObbmjSRHgTphe,255816,80.0,2024-01-01,0.0
5EsfyTD26nlVQ0DtYo16uJ,259962,83.0,2024-01-01,0.0
4YugJd2i96PHwaflBauhXi,261807,85.0,2024-01-01,0.0
633FwmKmrHWn6sLTL3db72,261936,150.0,2024-01-01,0.0
4fiLVxZ0UAsWAzUwGqkZA9,262681,87.0,2024-01-01,0.0
3rMskQgCc54bAQUfE0U4Fw,263349,176.0,2024-01-01,0.0
3JayaISg308IVZhUY0XUXe,263471,155.0,2024-01-01,0.0
13tYZVTtzLUJTlM7m1ivbi,263683,534.0,2024-01-01,0.0
0HTZpLa2SjBmuJ6zJ7OqMm,264763,153.0,2024-01-01,0.0
2ag2oLCwlFIA88hQrLMHzv,266648,160.0,2024-01-01,0.0
3ZfvKQxJp4zZshiJsRPoD1,274285,127.0,2024-01-01,0.0
1SARZTSJ1YeXgImYzpSxef,274645,97.0,2024-01-01,0.0
5ckUacHVEsmgJI7akKHadD,275338,70.0,2024-01-01,0.0
22Zg9JjEgM0JV5HvLXNJAh,277190,155.0,2024-01-01,0.0
7F67ujlSkp8PT7uaDPuOjP,278683,108.0,2024-01-01,0.0
3ZHTwJzCNDFvjLpVQiqpH6,281230,134.0,2024-01-01,0.0
7C7usPxKM74lA8HJbCqZnz,241447,110.0,2024-01-01,0.0
7D4bd801muwRfuo5F3KkGk,282516,99.0,2024-01-01,0.0
2k0w1FGqvzVPgQ9VdTaJpe,241322,90.0,2024-01-01,0.0
2juzwShPy28xL3umOogU3u,238129,91.0,2024-01-01,0.0
4A7shC8pd0ddDSqrvETTsu,162940,38.0,2024-01-01,0.0
248qgqZNy5T5KsGHgTxeIM,162975,64.0,2024-01-01,0.0
6trbb1ao6xqh6FjKc0BRYF,170000,78.0,2024-01-01,0.0
6t9JL24FVFzXtpLlp6x5tZ,170061,67.0,2024-01-01,0.0
0VsL7c4EBrLgaNfHQep2oy,171206,91.0,2024-01-01,0.0
0uBYyYTfuuDigZvBN6HnUt,172636,43.0,2024-01-01,0.0
4511PLndxxMcob8Qq5KHNw,172730,104.0,2024-01-01,0.0
3g7PbLRaKm2MmfHNyMbjJn,173136,43.0,2024-01-01,0.0
4Dzma7nri1H2XNQ7b8Fs5b,173430,54.0,2024-01-01,0.0
2p2iPBELfsen9imWH0NkId,174706,22.0,2024-01-01,0.0
5fWNEKU1JTe07KsrJ7stft,177346,55.0,2024-01-01,0.0
7juXSUrMEd7f9ljLk7Pria,184796,34.0,2024-01-01,0.0
1AjXK5Gi1kkMRYGBjALDMr,188420,44.0,2024-01-01,0.0
7J4cg1IeDWDY4oE19CaIra,194811,36.0,2024-01-01,0.0
0ISHfeb30gj4CSWUZYuesj,202640,1002.0,2024-01-01,0.0
7AiIXVMIrTqHlGn7bS3f31,209342,48.0,2024-01-01,0.0
0w5HrA1s3WZIqAUYicJo0A,214978,75.0,2024-01-01,0.0
6xxSYpv0gGX7V7Bikx1gGy,216565,81.0,2024-01-01,0.0
1NTxT72xu3GkYq5wIq0RG5,216795,107.0,2024-01-01,0.0
5oJUjUsBZcqyEhOdpif37h,217093,86.0,2024-01-01,0.0
2MzoTHyQgopGUL8ABcOAyr,217501,105.0,2024-01-01,0.0
4vWXPp6Tuf6ury2dCh0uAI,219163,41.0,2024-01-01,0.0
2eZbyz03ZHkqpZz2Vw3KXy,220626,85.0,2024-01-01,0.0
57USOybNwyjN8ZUZLm9hra,221685,95.0,2024-01-01,0.0
7lzMAvyDZyZm1hPMLpfIXy,230118,100.0,2024-01-01,0.0
3To1MBLD7WqFoWEeiLDBzq,231767,71.0,2024-01-01,0.0
0Xtgj2RuEo5FInZ0b4KYuY,236404,82.0,2024-01-01,0.0
1V7nao9bFNvjFrmrnSz19Y,239284,95.0,2024-01-01,0.0
4cag67C3v9ToeFivUwDUsE,297972,122.0,2024-01-01,0.0
4CyL8bBbVRYB0ogadF4aUS,299464,119.0,2024-01-01,0.0
2BDqAaVKzQDnoVPZbdp68D,302869,104.0,2024-01-01,0.0
4aBW31cmkA7BLColUsMEeZ,1538055,1523.0,2024-01-01,0.0
0ThxqUZ9PwS6n0UT5i1XH6,1774876,2842.0,2024-01-01,0.0
2ziekbazMdLS2Gtdo78RID,1884706,1396.0,2024-01-01,0.0
4VbErhGDMTnvPAnt5z70DL,1959116,856.0,2024-01-01,0.0
4RBKAqJ3qyvvriDG0s9IJ3,2004183,1046.0,2024-01-01,0.0
7kjSmkSo15pHlkb0mOQtfj,2550506,4300.0,2024-01-01,0.0
4XiypEn8iKbeP1TbTqdfk5,2703049,3972.0,2024-01-01,0.0
5zOKuItOTZhRCGtPrDYmlj,3148842,1736.0,2024-01-01,0.0
5lA0yK8S5tP3xoaRMCp4Ug,3928382,902.0,2024-01-01,0.0
7JKwboSAWRHJI5U1XGTqS3,4427217,3750.0,2024-01-01,0.0
4TtyvyI42C0KFnbDZvNC8Y,4484615,535.0,2024-01-01,0.0
0yisH8r0f3Mkq34kjzUlCV,4762298,633.0,2024-01-01,0.0
1cJkUN5LAotktryx2nPCr7,5352853,4279.0,2024-01-01,0.0
6znB7YZhMJT2B83zfbiyLq,5494457,2811.0,2024-01-01,0.0
5Ct2PYPUSogyWvbV40k9Bf,5542794,616.0,2024-01-01,0.0
6hH37tyeRdyan1mAppmVor,5629237,2509.0,2024-01-01,0.0
3QFB14MOUf3imlyISNmrbT,5660455,2455.0,2024-01-01,0.0
7GZ3KDorsc1yWndEtzGTjf,5783138,3829.0,2024-01-01,0.0
5QkzyLUb4ggojNDp8G2OxX,5815242,2889.0,2024-01-01,0.0
