song_urls,song_ids,song_streams,song_daily
https://open.spotify.com/track/4A2LfnduSTsE8u0ecYROxE,4A2LfnduSTsE8u0ecYROxE,125768978,195693
https://open.spotify.com/track/3jBMHD19RZdAqG9iFQh7xc,3jBMHD19RZdAqG9iFQh7xc,121051249,164844
https://open.spotify.com/track/1MaqkdFNIKPdpQGDzme5ss,1MaqkdFNIKPdpQGDzme5ss,120962293,60291
https://open.spotify.com/track/2mvabkN1i2gLnGAPUVdwek,2mvabkN1i2gLnGAPUVdwek,120397419,32839
https://open.spotify.com/track/4AYtqFyFbX0Xkc2wtcygTr,4AYtqFyFbX0Xkc2wtcygTr,119807697,98800
https://open.spotify.com/track/4uoyvFGK43Of4v9tj0moxC,4uoyvFGK43Of4v9tj0moxC,118756916,36215
https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T,4IQkfUsrwXol38VV3U7t7T,117426239,85074
https://open.spotify.com/track/5kiZGSxgqPdv6rbqL9THdd,5kiZGSxgqPdv6rbqL9THdd,117304644,143542
https://open.spotify.com/track/4h0EXpatqJImv4VRgvX6po,4h0EXpatqJImv4VRgvX6po,115346730,38988
https://open.spotify.com/track/0eFQWVz0qIxDOvhLpZ40P7,0eFQWVz0qIxDOvhLpZ40P7,113360677,160438
https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD,4OmFmE0fzcMG6g0Y8p4eSD,109095825,138274
https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK,7qEUFOVcxRI19tbT68JcYK,108506734,169364
https://open.spotify.com/track/0Om9WAB5RS09L80DyOfTNa,0Om9WAB5RS09L80DyOfTNa,108469048,86580
https://open.spotify.com/track/1SmiQ65iSAbPto6gPFlBYm,1SmiQ65iSAbPto6gPFlBYm,107921405,93971
https://open.spotify.com/track/4t0OI7XrODjSkAu3bTPmWj,4t0OI7XrODjSkAu3bTPmWj,107245620,38071
https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC,2slqvGLwzZZYsT4K4Y1GBC,106888159,54115
https://open.spotify.com/track/6Eu31gddWw0gOGO506pJYA,6Eu31gddWw0gOGO506pJYA,106701822,58209
https://open.spotify.com/track/40PXEOFLJc7UIpLMrhSfW1,40PXEOFLJc7UIpLMrhSfW1,106603206,30793
https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h,3sW3oSbzsfecv9XoUdGs7h,106288384,814062
https://open.spotify.com/track/6wn61Fzx9XMxQmieLpoIhW,6wn61Fzx9XMxQmieLpoIhW,104770540,22410
https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby,3xYJScVfxByb61dYHTwiby,103514260,416696
https://open.spotify.com/track/16MVSD0mGI4RMQT83Qzm69,16MVSD0mGI4RMQT83Qzm69,99340082,96467
https://open.spotify.com/track/3oKMl2tJv4fdidkXUYMI5x,3oKMl2tJv4fdidkXUYMI5x,99139473,84019
https://open.spotify.com/track/5vyxXfD5gLlyPxGZMEjtmd,5vyxXfD5gLlyPxGZMEjtmd,98222473,51701
https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki,6lzc0Al0zfZOIFsFvBS1ki,97693710,110979
https://open.spotify.com/track/35rdVq36LMHQX0Suw9a6tK,35rdVq36LMHQX0Suw9a6tK,96310163,102157
https://open.spotify.com/track/28M2gifMU282QBM3fKajIS,28M2gifMU282QBM3fKajIS,95741474,39390
https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot,4zmKGsrXjLmljb5fTaBTot,94786188,448409
https://open.spotify.com/track/4CHpVfAhuxNJ3ibExe6kxO,4CHpVfAhuxNJ3ibExe6kxO,94376667,63954
https://open.spotify.com/track/3QF5RsWzK1lCvf2o2cY65P,3QF5RsWzK1lCvf2o2cY65P,93774113,126726
https://open.spotify.com/track/6wAFvJPpTZVirBKGZ4EnMW,6wAFvJPpTZVirBKGZ4EnMW,93266093,113731
https://open.spotify.com/track/6XDBA3QWX51lDJ0oZbaJJN,6XDBA3QWX51lDJ0oZbaJJN,93206662,34332
https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d,0v4z1tuZvn6LGknom9Qx7d,91897052,128281
https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,79uDOz0zuuWS7HWxzMmTa2,90263606,539219
https://open.spotify.com/track/73W5aXorr5vxrySFcoZqIN,73W5aXorr5vxrySFcoZqIN,89792500,107921
https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ,3S7HNKPakdwNEBFIVTL6dZ,85975454,102213
https://open.spotify.com/track/4pNApnaUWAL2J4KO2eqokq,4pNApnaUWAL2J4KO2eqokq,84141906,117340
https://open.spotify.com/track/1msEuwSBneBKpVCZQcFTsU,1msEuwSBneBKpVCZQcFTsU,84077314,116340
https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7,0y6kdSRCVQhSsHSpWvTUm7,82955222,117749
https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG,7G0gBu6nLdhFDPRLc0HdDG,81775355,488101
https://open.spotify.com/track/1kdWw77ZpYOkhxeuhzU1j6,1kdWw77ZpYOkhxeuhzU1j6,80337823,108808
https://open.spotify.com/track/1wJL1A0QUHJPf2cm7tsrdw,1wJL1A0QUHJPf2cm7tsrdw,79658450,28490
https://open.spotify.com/track/2nqio0SfWg6gh2eCtfuMa5,2nqio0SfWg6gh2eCtfuMa5,76632869,102167
https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0,05GsNucq8Bngd9fnd4fRa0,75804561,103302
https://open.spotify.com/track/6IH2Z54gYPLqgJtxZjX80i,6IH2Z54gYPLqgJtxZjX80i,72612235,16313
https://open.spotify.com/track/73qMN9bXy7MSPwwGfH3wQr,73qMN9bXy7MSPwwGfH3wQr,72451781,102309
https://open.spotify.com/track/2r9CbjYgFhtAmcFv1cSquB,2r9CbjYgFhtAmcFv1cSquB,71940214,86264
https://open.spotify.com/track/3oGVx9RBmiYGv5ZCecWLkx,3oGVx9RBmiYGv5ZCecWLkx,71895653,83297
https://open.spotify.com/track/5YL553x8sHderRBDlm3NM3,5YL553x8sHderRBDlm3NM3,71772643,94589
https://open.spotify.com/track/7eQj6r5PIdYKEIZjucBMcq,7eQj6r5PIdYKEIZjucBMcq,70047108,82095
https://open.spotify.com/track/3r9bgSJlJz2zlevcBRYXko,3r9bgSJlJz2zlevcBRYXko,69185965,29510
https://open.spotify.com/track/550erGcdD9n6PnwxrvYqZT,550erGcdD9n6PnwxrvYqZT,69033669,84557
https://open.spotify.com/track/1EQn3Uc5AyUXoiPLeyCrrg,1EQn3Uc5AyUXoiPLeyCrrg,68190312,17861
https://open.spotify.com/track/7J4b3LVCIGO4CMBDFLPoP6,7J4b3LVCIGO4CMBDFLPoP6,65963092,85112
https://open.spotify.com/track/49mWEy5MgtNujgT7xU3emT,49mWEy5MgtNujgT7xU3emT,65272395,13544
https://open.spotify.com/track/5P4wWhUYWM0IaVYLuZxdar,5P4wWhUYWM0IaVYLuZxdar,65181409,27927
https://open.spotify.com/track/0NwGC0v03ysCYINtg6ns58,0NwGC0v03ysCYINtg6ns58,64370787,369811
https://open.spotify.com/track/4L9QDCVNWIFhf2yr8iMvzA,4L9QDCVNWIFhf2yr8iMvzA,64154241,10802
https://open.spotify.com/track/7eResoqEJJAVTkQYSqvO3P,7eResoqEJJAVTkQYSqvO3P,62484501,60871
https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp,3MytWN8L7shNYzGl4tAKRp,60730155,312028
https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y,4i6cwNY6oIUU2XZxPIw82Y,60707619,173934
https://open.spotify.com/track/4e5ayHsOLJNLTGfjau2mEw,4e5ayHsOLJNLTGfjau2mEw,60425682,72649
https://open.spotify.com/track/4Ar3jciiuPXAMGjQpMWo34,4Ar3jciiuPXAMGjQpMWo34,60075793,9306
https://open.spotify.com/track/5gl2F1AWDQlUFzXwA4uY72,5gl2F1AWDQlUFzXwA4uY72,58831031,10138
https://open.spotify.com/track/5eGX87IiKsGuzS3iw4CfCX,5eGX87IiKsGuzS3iw4CfCX,56358895,50918
https://open.spotify.com/track/5xXqyjLicvEpch72qEryFT,5xXqyjLicvEpch72qEryFT,55935849,269564
https://open.spotify.com/track/3fGnrtrtL1IHSX9t4DKOYf,3fGnrtrtL1IHSX9t4DKOYf,55684722,65121
https://open.spotify.com/track/5A4PQqcpYb0vD1zx5DlObS,5A4PQqcpYb0vD1zx5DlObS,55243815,9258
https://open.spotify.com/track/1cSFlSBdpT4F5vb1frQ231,1cSFlSBdpT4F5vb1frQ231,55130810,66306
https://open.spotify.com/track/6iiAfo4wTA2CVC3Uwx9uh8,6iiAfo4wTA2CVC3Uwx9uh8,54978560,66352
https://open.spotify.com/track/1zU8j1x3yi9xalMF96pzKp,1zU8j1x3yi9xalMF96pzKp,54955768,275236
https://open.spotify.com/track/0NRHj8hDwwmSPaA41o379r,0NRHj8hDwwmSPaA41o379r,54757917,67774
https://open.spotify.com/track/4uuEGH5SVuzkkSFjo2DEiY,4uuEGH5SVuzkkSFjo2DEiY,54680965,58412
https://open.spotify.com/track/7A2cNLRT0YJc1yjxHlKihs,7A2cNLRT0YJc1yjxHlKihs,54204178,69027
https://open.spotify.com/track/4axSuOg3BqsowKjRpj59RU,4axSuOg3BqsowKjRpj59RU,53925326,61660
https://open.spotify.com/track/6xlCHgsZanRIBaS3yokshA,6xlCHgsZanRIBaS3yokshA,53419734,7763
https://open.spotify.com/track/4hqJ4bSlYJOXb6Z4SRmzxs,4hqJ4bSlYJOXb6Z4SRmzxs,52846590,330610
https://open.spotify.com/track/5iZzl5YlcJaEZjFCcv9j2h,5iZzl5YlcJaEZjFCcv9j2h,52530671,8010
https://open.spotify.com/track/7HC7R2D8WjXVcUHJyEGjRs,7HC7R2D8WjXVcUHJyEGjRs,51894912,56857
https://open.spotify.com/track/47HtKpfzpAt8rQjjXWotFj,47HtKpfzpAt8rQjjXWotFj,50875052,12407
