track_id,popularity
6qnM0XXPZOINWA778uNqQ9,67
1p80LdxRV74UKvL8gnD7ky,81
4lIxdJw6W3Fg4vUIYCB0S5,81
5OndtwLGA9O6XHFcGm2H7r,70
0dAb8TY433dl3ZfXYCLE19,67
5xTtaWoae3wi06K5WfVUUH,77
3wmN11qXGL0HyPojvEE1D9,61
273dCMFseLcVsoSWx59IoE,74
59HjlYCeBsxdI0fcm3zglw,74
4dYUOfmWna6DFccnz732n8,59
3oKMl2tJv4fdidkXUYMI5x,55
3jBMHD19RZdAqG9iFQh7xc,57
06WgOCf0LV2h4keYXDRnuh,59
5zyCYmiaVE5y26EZuwZbsw,47
1RvQQGwaPipiNgz8RXAKA8,54
0XfOV7qY3834QpFVwOb6CC,45
0ciHz919LVKoH4zgxyMPZ9,53
1q3RiD1tIWUpGsNFADMlvl,60
3bIxTsfeNMO7Nt2J3EUKrA,58
31pEV5lPJi7btskZoUr2yu,46
1OYARuagDrpgNNQ4loO1Cs,52
1x0J8LFX23d5h1zzuzZorc,47
7vvIpJZye5cRR6De1LKM0m,48
5d2Kn9oAAh9S2EbyCo1i52,46
5QKhg4r4Ibt0LVTmWEXTEg,43
2wtHlpYSgC7xEdD3DrSHNL,44
7gdwoOmi258QJq0hmQ4hto,48
0vqI4ZIMuifeKeItGiWbPj,44
48A0aShHlovDfTMucMrE66,45
5AsmAjBSSQjRPWgAYIp8tm,42
4qyalTRMRH5YuEntvvMvq0,47
6cf6rLb8qcklvJv90W6HCW,40
7BT9K9BDqq6HI2oWH5UMZQ,38
4mqgn90sCeVSYqcoftTQTd,38
5G9AVKld9q7DCrmoY42raf,41
786NsUYn4GGUf8AOt0SQhP,42
0cITLOYn1Sv4q27zZPqlNK,60
5kYFVSQoPu7yRpfiHBwMUk,40
72jCZdH0Lhg93z6Z4hBjgj,63
4XMP3zVxrnr58T0tjIHvpR,48
2ULNeSomDxVNmdDy8VxEBU,53
5VwFkx7JOimOGTYfha5rs1,43
7AEAGTc8cReDqcbPoY9gwo,61
1qLeEu4iXEclkLwoBlMiou,41
3n9mzjgAzjyKawvbHzciXF,39
1fGsZsIkQkOspfsT24nQP6,40
6LKjHhOW1az75pCQ9XJJtF,38
2X2J0BhxaLTmnxO4pPUhSd,39
4NAmRvqSITAAzKWnC8yRq3,54
7MecVsMj22MneZt7kVFaCr,39
0L4YCNRfXAoTvdpWeH2RGj,57
1aBJNc2thaKyh5THWzIqHX,48
7yndkPYP6YQQLBpPsizDfh,46
72GIZuUXo14oyrS0si3Rgc,47
7mFiEij8AXPUZB7aKLbUlQ,46
68QyrSzpnoU04AAhE5z8lj,45
1IsquhJFJ0qcFZI7FeAEuN,53
6505MLhnqTDDg4tjoUz2Wp,47
3QFB14MOUf3imlyISNmrbT,46
6hH37tyeRdyan1mAppmVor,46
0BSmbCIY36iw04azzJ3S0S,52
6KF9xd2hBLuexrmBX4vUWD,47
4KB3zBArZ1rHRExilzycaV,48
4DbI1rr4IQ2bc8nejy9ttd,47
3lm4L3pPL32PFy74dR17OR,48
6znB7YZhMJT2B83zfbiyLq,46
5QkzyLUb4ggojNDp8G2OxX,47
6LZaxlycSWrJZ4Volb25qx,54
1q8E1FfFuhd12c5JcJwPxQ,54
7lxADouiWFkwR7ZV2GKUcH,54
1nYWTzy5zu3zEPNgB1sItW,50
1ubvV5ECkm6nSI6g1HmbBK,55
4N60XfcTE1ysLZGbYgnYXq,55
19tHCfzUSoy5HkpxcmbA0A,51
74WBGgUnpKrJXt6TETfR6Z,54
14LtANuaslKWyYbktUrHBU,55
1By2VQkUN0Frd8mKNV5NYC,62
3kfgJql90tzgoxByioAMXR,46
11UaQaEp2LvdspTyyuE3ur,55
1D27z8xNzjW0Mwwt1NCWhJ,52
7DjCRhhFo9PPzca1BjMLcf,52
1EQn3Uc5AyUXoiPLeyCrrg,55
0vvt4IZOMkRug195S4MUq0,51
2R7C9dDqv1UPycvepBFziA,47
6IH2Z54gYPLqgJtxZjX80i,50
62rlxI6g2PNaWsHoiRryto,49
0fAbfDiuQiUwV7FUcFfRGY,45
0dBW6ZsW8skfvoRfgeerBF,63
6d9IiDcFxtFVIvt9pCqyGH,62
3DrjZArsPsoqbLzUZZV1Id,66
24DefNCFiWTP8OjYWiXuYe,59
7hZuICN5eaCuQyp443RCt6,57
5yEPktRqvIhko5QFF3aBhQ,63
3RBluWmSoG2pGA1OePzGJI,60
1wJL1A0QUHJPf2cm7tsrdw,54
10eBRyImhfqVvkiVEGf0N0,73
2ythurkTtSiyfK7GprJoFW,62
5GPwN5iZ9ZMSXAkppj4Uvv,49
28M2gifMU282QBM3fKajIS,57
4h0EXpatqJImv4VRgvX6po,57
6XDBA3QWX51lDJ0oZbaJJN,55
08gavXombT6KR0af88i9tA,44
2IZ00ed83ygPIiacYScWUE,44
46HGgtwmmuEB8mvDCyjyAc,44
4pl5zcqCv4vc3cB7M4MZ6f,44
14Bljc3pOOG0xQX3wqhLN9,41
0xvsgzM8AtBtRHZm5rav8A,43
3F6czr26ZwGU5O5CHY04Ma,46
3M0w3fhdXByHLCNAoi5c9G,45
0kN3oXYWWAk1uC0y2WoyOE,52
6wcFdMmiDscAhZJrcVFumx,43
4jPtq9shRdUv8Zjr0a5xkD,45
3as6Wz3mwbTnusWhZjTUNr,52
6S9G7J3EB1ZY0rrZPwsBg5,44
4XrP7vKBjKLEYlRZdb0Ygr,42
6HWYtS215rxaaMjvpyG18W,43
77VotUUL79U10TAnYdqwvr,45
1zxrcAk6eiytfavqriMcKT,44
5YbZZ2gYfvW1UvHHF4pVaD,42
0RdcBnAXyH2YZZvcBVu2k6,41
6Eu31gddWw0gOGO506pJYA,60
4t0OI7XrODjSkAu3bTPmWj,59
1vrd6UOGamcKNGnSHJQlSt,70
4WXzzCof26KJLTK5kK53dS,49
6wn61Fzx9XMxQmieLpoIhW,54
3GCL1PydwsLodcpv0Ll1ch,71
49mWEy5MgtNujgT7xU3emT,46
3rnI1UCyGJvUTVvT97VQr5,45
0HmCuN0Z3OX1Qrz43FLOPL,47
5P4wWhUYWM0IaVYLuZxdar,55
47HtKpfzpAt8rQjjXWotFj,50
3esA216TyLHEkNiBCeCmcg,48
1yACRKAwlXWhXXFUSkvzhD,43
4RBKAqJ3qyvvriDG0s9IJ3,41
5g7RMU3cV7zXWH244BLe7G,40
4aBW31cmkA7BLColUsMEeZ,45
4MbHDiHQjhmoVAV75G04Ql,36
4DjevQhsPWULcondN4mRh5,36
7EvU9pRoJ9Xs7anx0P7tEc,36
5a9hUL6ZuiagZhazwrtwHF,36
