TRACK_ID,YESTERDAY_STREAM,TOTAL_STREAM,TODAY_STREAM
3ExweHKZF9B752DPQByRVT,20104,36671714,43705
6T0sEnqjmHISIKwFETeeiP,1050240,36512776,1721705
7nWui6jiMM2m9qFmET1Mtj,31606,35999469,46480
6Q237Ts37YGYRIi5Vy5lVX,52281,35918359,111237
7an1exwMnfYRcdVQm0yDev,14954,35903024,38344
2hmafYGj1CXYKIYcMnX4lj,28080,35105474,37946
045ZeOHPIzhxxsm8bq5kyE,491773,34845407,1446393
73OX8GdpOeGzKC6OvGSbsv,12333,34696816,37375
3yNJkriPzWjkkDAWHIAVUq,92054,34676685,118018
0UAdDYrkCvVQftaKpL6q5f,15822,34001101,46536
3oF7Or7T35yhQbGxbCGvRX,13406,33400855,34376
1n2wszmJyVkw6FHqyLnQsY,30197,33265032,39733
1Fj0T1XKuhRu7EZzJ7NJIK,19716,33166127,35849
1hR8BSuEqPCCZfv93zzzz9,899726,33105902,1303951
12nBPF4Rh4XLFJV0YLN7uj,30325,32071083,91894
5RaBeejGtdPEszYEKYECs2,13464,31455990,29271
5AsmAjBSSQjRPWgAYIp8tm,2136,31320232,4032
6INztpNwOTlfSKTuPo0HOP,70799,31109790,116065
2Ta5c5Z6DvM8GX0U1polSo,11521,30621064,30321
3rnI1UCyGJvUTVvT97VQr5,3713,30013127,8072
51A8eKvvZz9uydvIZ7xRSV,25356,29942275,35714
1P5QpwOgXJuoVTm3CWbnLY,5902,29941946,8554
5OOd01o2YS1QFwdpVLds3r,11852,29621102,29630
2ZoOmCSgj0ypVAmGd1ve4y,20786,29446623,28475
6GXgd1BPD9bUpqw5AntGV5,915959,28867037,1159442
4pJi1rVt9GNegU9kywjg4z,17641,28172165,25943
2vPMoMDXxu9uX1igWZmXSG,608543,28033159,1267798
6K0CJLVXqbGMeJSmJ4ENKK,17853,27745441,31881
3pv7Q5v2dpdefwdWIvE7yH,857637,27613703,1099535
4evLyY5Ue1Wesc61t2KXAU,45719,27214969,78827
2ByBBvpR9b7IynvRmnG7kG,362236,26433284,1131990
46HGgtwmmuEB8mvDCyjyAc,2011,26262259,5437
0gPmM1WtVRg3uENW3o8bfx,41975,26228223,59965
1yACRKAwlXWhXXFUSkvzhD,6000,25759743,7501
43y1WpBdnEy5TR9aZoSQL9,361308,25428879,1003635
2R7C9dDqv1UPycvepBFziA,4409,24693932,5653
64FzgoLZ3oXu2SriZblHic,668170,24635041,928014
2QA3IixpRcKyOdG7XDzRgv,20790,24555112,29701
5zytSTR2g0I9psX2Z12ex6,2592,24391704,6323
2d3d9xZutJjmUpntiyHt3F,19490,23621826,31951
2f0GI2ZLUtbGqFx8t2Gk6A,331141,23435124,946118
5G9AVKld9q7DCrmoY42raf,2103,23315142,3565
75W3SngKzTuoQ94uLf3y82,518672,23302833,894263
1Ygm9KdH3wbzDekO8JgxcW,3991,23131020,10503
2IprIjGNRlj3TfqUWCAo0C,23249,22787954,43054
62rlxI6g2PNaWsHoiRryto,4028,22672211,8952
2ve0kuaWUCt4Zx8x4bf1MR,465454,22632987,930908
6cf6rLb8qcklvJv90W6HCW,1079,22479106,3374
4UwqOWDpdeIDVQDuKT6iza,641160,21803713,915944
2IZ00ed83ygPIiacYScWUE,3915,21519261,6637
1spLfUJxtyVyiKKTegQ2r4,14985,21315503,24975
7ryS0xBZNYjQqql34GCkDp,15602,20194408,26445
2msvOEbkK50foYf9BMXr2X,11964,20149793,21754
5KxZfCXXmVvKhPo8hQz2pS,12573,19841336,29240
2oWpe2L8ypC080BxpDVuTY,16448,19721879,39162
7FKbTRXXIWVFQmPH8zGfU0,2741,19331155,8844
3EPgWM1zfTSzEc0z4AwWTM,10279,18546685,24474
05kJkr80XEaZeN8kxyQoFp,11163,18383436,37211
3tGq7hWDCtrnL83y5OGual,3844,18219274,10118
4mqgn90sCeVSYqcoftTQTd,1829,17147850,2652
5mdNyCS7ttVcAyVYOIFEjs,17489,17004143,25720
4MGexoZc12lqE0hYkq9YYx,14040,16976503,20348
7BT9K9BDqq6HI2oWH5UMZQ,1150,16238349,2255
16M9Rxid0nXhVmme7lzVwN,9228,16095488,20063
4pl5zcqCv4vc3cB7M4MZ6f,1935,15959232,4720
6qAcApH8obo8eqatCKUHd9,571622,15617306,793920
2evEoQAhIMaa9PfjTT5skG,3238,15514305,8754
1gaLZjPrDnHQWJds2Jg4KT,11580,15513625,23160
7Bjf96uNizpvXLvNyOJpst,3048,14678264,6352
0RFCHlNuTeUHIB36VuVbOL,11885,14481228,28298
0xvsgzM8AtBtRHZm5rav8A,2105,14219913,4387
08J4bMHbILkwSIhbtrcvjN,12580,13987538,19969
2yceD2hx5HhOLgkm1CITCi,15080,13178010,18850
14Bljc3pOOG0xQX3wqhLN9,2228,13152554,3980
2RM02ladxD5mgdrlAwh3h9,1503,13071853,2004
6C0H8ts9M6deezz0yYR6LK,12312,12825733,17101
77p4fRpoeiZMtUy3P9kN21,4695,12527441,6020
77d7q9TNbsIDmRTDPkPv3L,7400,12270086,16088
560uQyz3p5G9WdnMX39xc6,9713,11929900,19046
6mqyTq948oap5AkyTsd6XF,10598,11721141,17094
06FXaDDdg0BzXl15cthMS5,1847,11523971,2463
28tIMaewZuGR8urkvFhQyA,10649,10717820,15434
1IsquhJFJ0qcFZI7FeAEuN,3848,10668289,7855
0BSmbCIY36iw04azzJ3S0S,2579,10652836,7369
1u4HUiREUR6vX1W1RYG2Tm,12568,10618065,16113
4cOWq0cVsKjxaQpRMbDoH1,7108,10449367,14508
7wo2UNeQBowm28hfAJsEMz,5408,10421350,9834
6ClYMObS7f3Nn4AiZHYQt3,49992,10182545,166640
5KByGq0JijSSDcy0qzuINs,5357,9966447,14098
1mh5dObNoOvCfHmXnhvDEK,9042,9865805,15326
06zIBqLC9ZRm5i0iMf0kHI,8036,9526509,12756
6F67FNdOBNMFzxdj1CQ5pL,6778,9518506,16945
0QTBsdoJhamY3Aid3fOsOd,9162,9290097,13474
5VDHMi7own9vDZjiwDES1e,3635,9151861,9827
3RNDw7yywLNyawDKV99hTx,1545,9024210,2575
1hm4V38egkiHOgxTUpu0zg,2330,8788942,5684
2fgiBCtbWo8pijF6M7pN1i,5031,8718782,11436
4lD3RXyvHpJsM3BhIEC4aA,7555,8588429,10350
4YHHz3VIXgNDGdoL9xC1tx,8905,8305258,11566
1aBJNc2thaKyh5THWzIqHX,2025,8249383,4050
04xrhDrQ2WOW8GLwu7kbc0,6890,8244411,11881
12xIjI9A9UlB6zEc7kyZ06,3350,8192658,7445
71IScwIe7bcIlpnlkbKVQw,9011,7752212,19590
4yyKppX85ZkmlGOC2toBZA,6876,7716935,10915
6KF9xd2hBLuexrmBX4vUWD,1859,7513995,4225
3lm4L3pPL32PFy74dR17OR,1729,7040715,4674
5F7hpFKLmWgMHGxQuwssuv,7315,7025886,9500
6SYwJcqaltK2WFRmD1unUV,2167,6536101,4713
72GIZuUXo14oyrS0si3Rgc,1782,6402578,3496
7mFiEij8AXPUZB7aKLbUlQ,2426,6384087,3279
7yndkPYP6YQQLBpPsizDfh,2199,6361489,3283
0Nw8hv79MLJa1yjtsEgz08,1683,6191528,3117
68QyrSzpnoU04AAhE5z8lj,1369,6035137,3044
4DbI1rr4IQ2bc8nejy9ttd,2625,5958440,3548
36a08nLG1xazGaaVKK0vv7,4653,5954016,7271
4KB3zBArZ1rHRExilzycaV,3999,5893744,5332
6505MLhnqTDDg4tjoUz2Wp,3219,5855180,4127
5fOV54t6mMYv3H9CsnvU81,5184,5836870,7102
4JQm7ebhsrt10wmrP6AfXL,470,5826267,1569
4YrpqEBNuz7IMsZtUP6bNQ,6069,5641387,9950
5QkzyLUb4ggojNDp8G2OxX,1315,5598770,3987
5Ct2PYPUSogyWvbV40k9Bf,754,5491322,1093
3QFB14MOUf3imlyISNmrbT,1809,5485649,3174
6hH37tyeRdyan1mAppmVor,1495,5453536,3324
6znB7YZhMJT2B83zfbiyLq,1725,5299660,3521
7r7j12XctfJqZWXsy1Zq9L,9323,5171833,16951
1g09DZjQ7yBommCT6POY2n,7650,5153252,12143
31JVjy3XWnh6C2zf4kLCXN,7343,4931839,10059
0yisH8r0f3Mkq34kjzUlCV,749,4714762,1315
0pjBqAz8GlxGlpaU4W0DxS,42039,4584463,73754
4TtyvyI42C0KFnbDZvNC8Y,926,4440869,1219
7GZ3KDorsc1yWndEtzGTjf,4000,4399915,9303
7JKwboSAWRHJI5U1XGTqS3,2700,4194167,5000
1cJkUN5LAotktryx2nPCr7,7340,4080964,9533
5lA0yK8S5tP3xoaRMCp4Ug,345,3866914,1115
5zOKuItOTZhRCGtPrDYmlj,1050,3046108,1982
4XiypEn8iKbeP1TbTqdfk5,1487,2423511,4959
7kjSmkSo15pHlkb0mOQtfj,3429,2258808,5532
4RBKAqJ3qyvvriDG0s9IJ3,1102,1921654,1670
4VbErhGDMTnvPAnt5z70DL,655,1904513,1008
0ThxqUZ9PwS6n0UT5i1XH6,2499,1567341,4031
2ziekbazMdLS2Gtdo78RID,1460,1500356,2705
4aBW31cmkA7BLColUsMEeZ,1055,1419593,2295
4i0M7glXqIIRKPwbLtpExi,70,1309707,130
5g7RMU3cV7zXWH244BLe7G,455,973111,1469
5a9hUL6ZuiagZhazwrtwHF,368,638009,801
4DjevQhsPWULcondN4mRh5,355,635353,740
7EvU9pRoJ9Xs7anx0P7tEc,558,609171,698
4MbHDiHQjhmoVAV75G04Ql,498,587434,874
6N6V2v89hS4N9ossON5f9R,200,565217,282
5JtXBqKLdfzwedmlUjjqAm,329,522304,439
4twNUyTpLMPWokYmCdFDCH,196,484803,385
1Qicm51crXMvUuH4SMjobT,264,484059,630
7Ae2hYOcJmLbGCYIA3M1VM,90,458494,201
1zz0XSmHCFd57ne04UAp38,412,456245,550
69o9kr9UexjzeZDE8yD8dQ,293,449935,587
1yVVoBDzSkFkZRWtq9x3u1,151,438758,229
5Iadj8IBPrt634WW0yGPRI,80,426728,178
4omftH10jc82Sj8VJ395C7,151,372916,445
2hecdut2HWM5JMHqLTWThq,108,352203,151
7bdyzcQ0onk60hfsxDCd2X,105,342905,155
0kfTOGpi5eZCBxcRF5LFIh,87,340178,231
2vTjAIZbfW7W8NGBOZ5rK5,165,336264,220
2rLYkfJSgTPtOTLjYEdozL,122,335780,207
3cAHqw3B2deaHRXV9WrYAA,99,334431,174
7HbZuazpPbDDMkb8Tmvxq0,101,328415,216
4sFwzqXqNcNV3cTyTybq0M,105,325838,202
1wePVBS4L6xhCvVUItPAZQ,182,318323,231
3lD0QBGaxvoc9WBDnGHFUi,65,314915,210
1BXM0X5BxyUUOLEf9Rv6uZ,46,309950,137
1VPHQriwOsy5aGHLwwZyho,68,307288,129
2GZNZLMvT3gjCEPd6NNvvQ,128,306263,195
64FIHbthA4RhBv6fL6DGBO,88,302000,132
1VW4AEDihVs3BQB6KnTYIY,136,301549,220
4WrJR6LJ8MtIxouKHUkTEM,111,297367,159
